headline,article_title,article_url,cluster,category
Lady Gaga says she was unaware of thwarted bomb threat until learning about it from media,"Unidentified people were “virtually recruiting participants to carry out attacks” to gain online notoriety, according to the Rio de Janeiro Civil Police.",https://www.nbcnews.com/pop-culture/pop-culture-news/planned-bombing-lady-gaga-rio-de-janiero-rcna204698,0,Business
"Ruth Buzzi, comedy sketch player on groundbreaking series 'Laugh-In,' dies at 88",Buzzi rose to fame as the frumpy and bitter Gladys Ormphby on the groundbreaking sketch comedy series “Rowan & Martin’s Laugh-In.”,https://www.nbcnews.com/pop-culture/pop-culture-news/ruth-buzzi-comedy-sketch-player-groundbreaking-series-laugh-dies-88-rcna204459,0,Business
Blake Lively said past year filled with 'lowest lows' of her life amid legal battle with Justin Baldoni,"The “Another Simple Favor” star talked about her ""intense"" year during a recent Seth Meyers appearance.",https://www.nbcnews.com/pop-culture/pop-culture-news/blake-lively-said-year-filled-lowest-lows-life-legal-battle-justin-bal-rcna204438,0,Business
"Singer Jill Sobule, known for 'I Kissed a Girl,' dies in house fire",Sobule was 66. The 1995 song was the first openly queer-themed record to reach Billboard’s Top 20.,https://www.nbcnews.com/pop-culture/music/jill-sobule-kissed-girl-dies-fire-rcna204334,0,Business
Video shows Justin Timberlake becoming Travis Kelce's 'backup dancer' on the golf course,"Timberlake posted a clip of the impromptu performance, with comedian Andrew Santino also joining in.",https://www.nbcnews.com/pop-culture/pop-culture-news/video-shows-justin-timberlake-becoming-travis-kelces-backup-dancer-gol-rcna204103,3,Sports
George Lucas finally explains why Yoda speaks backward in ‘Star Wars’ films,His style of speech is intentional.,https://www.nbcnews.com/pop-culture/pop-culture-news/george-lucas-explains-why-yoda-speaks-backwards-star-wars-films-rcna203784,3,Sports
Barbra Streisand is releasing a new album of duets. Here’s the list of stars who will appear.,Some top-notch talent appears on the album of duets — as well as a trio fans probably won’t soon forget.,https://www.nbcnews.com/pop-culture/pop-culture-news/barbra-streisand-releasing-new-album-duets-stars-rcna203783,0,Business
King Charles opens up about cancer diagnosis and treatment,"The British monarch, who was diagnosed with cancer in February 2024, has kept the details of his disease private.",https://www.nbcnews.com/world/united-kingdom/king-charles-opens-cancer-diagnosis-treatment-rcna203812,3,Sports
Robert De Niro's daughter Airyn comes out as transgender,"The 29-year-old spoke to Them, an LGBTQ magazine, about starting hormone therapy and finally embracing her femininity.",https://www.nbcnews.com/nbc-out/out-news/robert-de-niro-daughter-airyn-transgender-rcna203775,0,Business
Christie Brinkley recalls Billy Joel’s 7-word response to her writing a memoir,The model and author of “Uptown Girl” opens up about her marriage to the iconic musician.,https://www.nbcnews.com/pop-culture/pop-culture-news/christie-brinkley-memoir-billy-joel-marriage-rcna203780,0,Business
"Katy Perry says online critics are trying to make her a 'human piñata' following tour, space flight","“Please know I am ok,” the singer told her fans.",https://www.nbcnews.com/pop-culture/pop-culture-news/katy-perry-responds-online-critics-space-flight-rcna203779,0,Business
Michael Bolton reveals glioblastoma diagnosis: ‘You find out what you’re made of’,The singer learned he had the incurable brain cancer in 2023.,https://www.nbcnews.com/pop-culture/pop-culture-news/michael-bolton-reveals-glioblastoma-diagnosis-find-re-made-rcna203765,3,Sports
"Terrence Howard refused Marvin Gaye role over prospect of kissing a man, says 'I would cut my lips off'",The former “Empire” star made the confession during a nearly two-hour appearance on Bill Maher’s “Club Random” podcast.,https://www.nbcnews.com/nbc-out/out-news/terrence-howard-marvin-gaye-biopic-rumored-gay-rcna203519,3,Sports
"In retrial openings, prosecutors paint Harvey Weinstein as powerful mogul who 'preyed' on women","Weinstein’s lead attorney forcefully pushed back against the prosecution’s narrative, insisting his client’s sexual encounters were consensual and “mutually beneficial.”",https://www.nbcnews.com/news/us-news/retrial-openings-prosecutors-portray-harvey-weinstein-powerful-mogul-p-rcna202561,3,Sports
Beyoncé kicks off Cowboy Carter Tour with daughters Blue Ivy and Rumi,Beyoncé has four more shows in Los Angeles before moving on to Chicago.,https://www.nbcnews.com/pop-culture/pop-culture-news/beyonce-kicks-cowboy-carter-tour-daughters-blue-ivy-rumi-rcna203506,3,Sports
Kim Kardashian jewelry heist suspect says he regrets 'trauma' he caused her,"Yunice Abbas, who wrote a book confessing to the crime, was the first defendant questioned Tuesday in the trial in connection with the 2016 robbery during which the reality star was held at gunpoint.",https://www.nbcnews.com/world/europe/kim-kardashian-robbery-suspect-says-regrets-trauma-caused-rcna203440,3,Sports
'The Last of Us' Star Gabriel Luna unpacks Joel's death and what's next for Tommy,"Warning: This post contains spoilers for Season 2, Episode 3 of “The Last of Us,” which aired April 27.",https://www.nbcnews.com/pop-culture/pop-culture-news/the-last-us-star-gabriel-luna-whats-next-for-tommy-rcna203382,3,Sports
Rock & Roll Hall of Fame unveils 2025 inductees. See who made the list.,"Cyndi Lauper, Outkast, Soundgarden and Chubby Checker are among the seven acts who will be enshrined in the performer category.",https://www.nbcnews.com/pop-culture/pop-culture-news/rock-roll-hall-fame-2025-inductees-list-rcna203386,3,Sports
Rupert Grint welcomes 'secret' baby No. 2 and reveals her bright and sunny name,"“A 10/10 baby (so far),” Grint wrote in his Ron Weasley-esque baby announcement.",https://www.nbcnews.com/pop-culture/pop-culture-news/rupert-grint-welcomes-second-baby-rcna203384,3,Sports
How did the creature from 'The Legend of Ochi' get so cute? Director Isaiah Saxon explains,"First came Baby Yoda. Then came Baby Groot. Now, meet Baby Ochi.",https://www.nbcnews.com/pop-culture/pop-culture-news/the-legend-of-ochi-director-isaiah-saxon-inspiration-for-character-rcna203389,0,Business
Key GOP senator won't support Trump loyalist Ed Martin to be D.C.'s top prosecutor,North Carolina Republican Sen. Thom Tillis' decision likely derails Martin's nomination as U.S. attorney for the District of Columbia.,https://www.nbcnews.com/politics/justice-department/thom-tillis-wont-support-ed-martin-dc-us-attorney-rcna205104,1,Politics
"Angus King III, son of the Maine senator, launches a run for governor",King is seeking to succeed term-limited Gov. Janet Mills. Both are Democrats.,https://www.nbcnews.com/politics/2026-election/angus-king-iii-son-maine-senator-launches-run-governor-rcna204866,1,Politics
Trump says D.C. will host the 2027 NFL draft; Gov. Brian Kemp skips Georgia Senate race,Trump also discussed his plans to impose tariffs on imported movies and reopen Alcatraz prison in California.,https://www.nbcnews.com/politics/trump-administration/live-blog/trump-administration-nfl-draft-tariffs-immigration-doge-live-updates-rcna204587,1,Politics
Federal judge says results of North Carolina court race with Democrat ahead must be certified,More than 5.5 million ballots were cast in what has been the country's last undecided race from the general election in November.,https://www.nbcnews.com/politics/elections/federal-judge-says-results-north-carolina-court-race-democrat-ahead-mu-rcna205013,1,Politics
Alexandria Ocasio-Cortez won't seek the top Democratic seat on the House Oversight Committee,"After speaking to colleagues, the progressive New York congresswoman said she believed Democrats would favor a more senior member in the role, as they did in the previous race.",https://www.nbcnews.com/politics/congress/aoc-wont-seek-top-democratic-seat-house-oversight-committee-rcna205002,1,Politics
Trump administration says Harvard will receive no new grants until it meets White House demands,The president has threatened to end the Ivy League school's tax-exempt status as an educational institution.,https://www.nbcnews.com/politics/trump-administration/trump-administration-says-harvard-will-receive-no-new-grants-meets-whi-rcna205003,1,Politics
Jon Voight met with Trump before president proposed tariffs on foreign film productions,"Voight, whom Trump tapped as one of three special ambassadors to the film industry, said the president “will help us make Hollywood great again.”",https://www.nbcnews.com/pop-culture/pop-culture-news/jon-voight-hollywood-plan-donald-trump-tariffs-rcna204968,1,Politics
GOP dealt a blow in the battle for the Senate: From the Politics Desk,"Plus, the Trump administration spends big bucks on the airwaves touting its mass deportation campaign.",https://www.nbcnews.com/politics/politics-news/gop-dealt-blow-battle-senate-politics-desk-rcna204959,1,Politics
